"Name","ConnectionState","PowerState","Cluster"
"housu211.oamp.sgns.net","Connected","PoweredOn","pod3cluster1"
"housu227.oamp.sgns.net","Connected","PoweredOn","pod3cluster1"
"housu235.oamp.sgns.net","Connected","PoweredOn","pod3cluster1"
"housu243.oamp.sgns.net","Connected","PoweredOn","pod3cluster1"
"housu198.oamp.sgns.net","Connected","PoweredOn","pod3cluster2"
"housu200.oamp.sgns.net","Connected","PoweredOn","pod3cluster2"
"housu206.oamp.sgns.net","Connected","PoweredOn","pod3cluster2"
"housu208.oamp.sgns.net","Connected","PoweredOn","pod3cluster2"
"housu214.oamp.sgns.net","Connected","PoweredOn","pod3cluster2"
"housu216.oamp.sgns.net","Connected","PoweredOn","pod3cluster2"
"housu222.oamp.sgns.net","Connected","PoweredOn","pod3cluster2"
"housu224.oamp.sgns.net","Connected","PoweredOn","pod3cluster2"
"housu230.oamp.sgns.net","Connected","PoweredOn","pod3cluster2"
"housu232.oamp.sgns.net","Connected","PoweredOn","pod3cluster2"
"housu238.oamp.sgns.net","Connected","PoweredOn","pod3cluster2"
"housu240.oamp.sgns.net","Connected","PoweredOn","pod3cluster2"
"housu202.oamp.sgns.net","Connected","PoweredOn","pod3cluster2"
"housu210.oamp.sgns.net","Connected","PoweredOn","pod3cluster2"
"housu212.oamp.sgns.net","Connected","PoweredOn","pod3cluster2"
"housu218.oamp.sgns.net","Connected","PoweredOn","pod3cluster2"
"housu226.oamp.sgns.net","Connected","PoweredOn","pod3cluster2"
"housu228.oamp.sgns.net","Connected","PoweredOn","pod3cluster2"
"housu234.oamp.sgns.net","Connected","PoweredOn","pod3cluster2"
"housu242.oamp.sgns.net","Connected","PoweredOn","pod3cluster2"
"woksu78.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster2"
"woksu102.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster2"
"woksu110.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster2"
"woksu118.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster2"
"woksu120.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster2"
"woksu126.oamp.sgns.net","Maintenance","PoweredOn","wok1pod1cluster2"
"woksu70.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster2"
"woksu86.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster2"
"woksu88.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster2"
"woksu94.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster2"
"woksu104.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster2"
"woksu112.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster2"
"woksu122.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster2"
"woksu128.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster2"
"woksu72.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster2"
"woksu80.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster2"
"woksu82.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster2"
"woksu90.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster2"
"woksu96.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster2"
"woksu98.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster2"
"woksu197.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster1"
"woksu199.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster1"
"woksu205.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster1"
"woksu207.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster1"
"woksu213.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster1"
"woksu215.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster1"
"woksu221.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster1"
"woksu223.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster1"
"woksu229.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster1"
"woksu237.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster1"
