"Name","Total","Provisioned","InUse","Datacenter"
"p1c1_datastore17","1.562255859375","1.12804412841797","1.07472229003906","HOU1"
"p1c1_datastore18","1.562255859375","1.73773956298828","0.576393127441406","HOU1"
"p1c2_datastore20","1.562255859375","1.08945465087891","1.07874298095703","HOU1"
"p1c2_datastore21","1.562255859375","1.04440312832594","0.407539367675781","HOU1"
"p1c1_datastore19","1.562255859375","0.719970703125","0.371345520019531","HOU1"
"p1c1_datastore20","1.562255859375","0.620597839355469","0.239303588867188","HOU1"
"p1c1_datastore21","1.562255859375","0.987083435058594","0.914726257324219","HOU1"
"p1c1_datastore22","1.562255859375","1.18464471772313","1.08573913574219","HOU1"
"p1c1_datastore23","1.562255859375","1.23664667084813","1.18116760253906","HOU1"
"p1c1_datastore24","1.562255859375","0.809501647949219","0.724647521972656","HOU1"
"p1c1_datastore25","1.562255859375","1.258544921875","1.05308532714844","HOU1"
"p1c1_datastore26","1.562255859375","0.977157592773438","0.910285949707031","HOU1"
"p1c1_datastore27","1.562255859375","0.977188110351563","0.977188110351563","HOU1"
"p1c1_datastore28","1.562255859375","0.9771728515625","0.910301208496094","HOU1"
"p1c1_datastore29","1.562255859375","0.977195739746094","0.910324096679688","HOU1"
"p1c1_datastore30","1.562255859375","0.961217779666185","0.423568725585938","HOU1"
"p1c1_datastore31","1.562255859375","0.470008850097656","0.253593444824219","HOU1"
"p1c2_datastore22","1.562255859375","0.527503967285156","0.244247436523438","HOU1"
"p1c2_datastore23","1.562255859375","0.40130615234375","0.125625610351563","HOU1"
"p1c1_datastore32","1.562255859375","0.348922729492188","0.0818099975585938","HOU1"
"p1c1_datastore33","1.562255859375","0.419013977050781","0.362998962402344","HOU1"
"p1c1_datastore34","1.562255859375","0.596611022949219","0.507858276367188","HOU1"
"p1c1_datastore35","1.562255859375","0.707786560058594","0.260856628417969","HOU1"
"p1c1_datastore36","1.562255859375","1.24213971570134","0.137908935546875","HOU1"
"p1c1_datastore37","1.562255859375","1.21168518066406","0.0458831787109375","HOU1"
"p1c1_datastore38","1.562255859375","1.08889770507813","0.332412719726563","HOU1"
"p1c1_datastore39","1.562255859375","0.420783996582031","0.382110595703125","HOU1"
"p1c1_datastore40","1.562255859375","1.20059204101563","1.20059204101563","HOU1"
"p1c1_datastore41","1.562255859375","0.679395236074924","0.378143310546875","HOU1"
"p1c1_datastore42","1.562255859375","0.976799011230469","0.492652893066406","HOU1"
"p1c1_datastore43","1.562255859375","1.20057983323932","1.16810607910156","HOU1"
"p1c1_datastore44","1.562255859375","1.03416571766138","0.555633544921875","HOU1"
"p1c1_datastore45","1.562255859375","0.602333068847656","0.483871459960938","HOU1"
"p1c1_datastore46","1.562255859375","1.47808380052447","0.609161376953125","HOU1"
"p1c1_datastore47","1.562255859375","0.964859008789063","0.909103393554688","HOU1"
"p1c1_datastore48","1.562255859375","1.09580230712891","0.893196105957031","HOU1"
"p1c1_datastore49","1.562255859375","0.764402288943529","0.5592041015625","HOU1"
"p1c1_datastore50","1.562255859375","1.10035705566406","0.955276489257813","HOU1"
"p1c1_datastore51","1.562255859375","0.913730431348085","0.348106384277344","HOU1"
"p1c1_datastore52","1.562255859375","0.477648735046387","0.398216247558594","HOU1"
"p1c1_datastore53","1.562255859375","1.19807434082031","0.950386047363281","HOU1"
"p1c1_datastore54","1.562255859375","1.19724273681641","0.791526794433594","HOU1"
"p1c1_datastore55","1.562255859375","0.919853210449219","0.806533813476563","HOU1"
"p1c2_datastore24","1.562255859375","0.718109130859375","0.651802062988281","HOU1"
"p1c2_datastore25","1.562255859375","0.610763549804688","0.312652587890625","HOU1"
"p1c1_datastore56","1.562255859375","1.13033868744969","0.820938110351563","HOU1"
"p1c1_datastore57","1.562255859375","0.962114293128252","0.546012878417969","HOU1"
"p1c1_datastore58","1.562255859375","0.569743920117617","0.248321533203125","HOU1"
"p1c1_datastore59","1.562255859375","0.548294067382813","0.107711791992188","HOU1"
"p1c2_datastore26","1.562255859375","0.130279541015625","0.0557708740234375","HOU1"
"p1c2_datastore27","1.562255859375","0.112106323242188","0.0200729370117188","HOU1"
"p1c2_datastore28","1.562255859375","0.319244384765625","0.0512542724609375","HOU1"
"p1c2_datastore29","1.562255859375","0.759271461516619","0.198890686035156","HOU1"
"p1c1_datastore60","1.562255859375","1.15361785888672","0.661163330078125","HOU1"
"p1c1_datastore61","1.562255859375","1.23223114013672","1.22330474853516","HOU1"
"p1c1_datastore62","1.562255859375","1.23221588134766","1.22454071044922","HOU1"
"p1c1_datastore63","1.562255859375","1.20195770263672","1.05052185058594","HOU1"
"p1c1_datastore64","1.562255859375","1.23223114013672","1.22589874267578","HOU1"
"p1c1_datastore65","1.562255859375","1.23221588134766","1.17478942871094","HOU1"
"p1c1_datastore66","1.562255859375","1.07320404052734","1.07151794433594","HOU1"
"p1c1_datastore67","1.562255859375","1.03689575195313","1.03582763671875","HOU1"
"p1c1_datastore68","1.562255859375","1.59844970703125","1.08735656738281","HOU1"
"p1c1_datastore69","1.562255859375","1.31917572021484","1.19810485839844","HOU1"
"p1c1_datastore70","1.562255859375","1.08100878074765","1.06922149658203","HOU1"
"p1c1_datastore71","1.562255859375","1.20977020263672","0.780899047851563","HOU1"
"p1c1_datastore72","1.562255859375","0.776400871574879","0.402862548828125","HOU1"
"p1c1_datastore73","1.562255859375","0.631729118525982","0.222999572753906","HOU1"
"p1c1_datastore74","1.562255859375","1.63998353108764","1.28831481933594","HOU1"
"p1c1_datastore75","1.562255859375","1.1173095703125","1.08898162841797","HOU1"
"p1c1_datastore76","1.562255859375","1.17247009277344","0.980857849121094","HOU1"
"p1c1_datastore77","1.562255859375","1.18091769888997","1.13587188720703","HOU1"
"p1c1_datastore79","1.562255859375","1.09561920166016","0.669265747070313","HOU1"
"p1c2_datastore33","1.999755859375","0.375603675842285","0.145296096801758","HOU1"
"p1c2_datastore30","1.562255859375","0.831918716430664","0.737983703613281","HOU1"
"p1c2_datastore31","1.562255859375","0.999862670898438","0.662055969238281","HOU1"
"p1c2_datastore32","1.562255859375","0.652984619140625","0.377044677734375","HOU1"
"p1c1_datastore78","1.999755859375","1.58354949951172","0.648647308349609","HOU1"
"p1c2_datastore34","1.999755859375","0.826674461364746","0.736283302307129","HOU1"
"p1c2_datastore35","1.999755859375","0.57823657989502","0.177559852600098","HOU1"
"p1c2_datastore36","1.999755859375","0.48613452911377","0.223251342773438","HOU1"
"p1c1_datastore80","1.999755859375","1.86591720581055","1.25586891174316","HOU1"
"p1c1_datastore81","1.999755859375","2.02323341369629","1.280592918396","HOU1"
"p1c2_datastore38","1.999755859375","0.121773719787598","0.0986967086791992","HOU1"
"p1c2_datastore39","1.999755859375","0.439820289611816","0.246427536010742","HOU1"
"p1c2_datastore37","1.999755859375","0.250832557678223","0.134071350097656","HOU1"
"p1c1_datastore_AmicusOnly","63.999755859375","60.0012426264584","47.2417221069336","HOU1"
"p1c2_datastore40","2.39990234375","0.196256637573242","0.00437164306640625","HOU1"
"p1c2_datastore41","2.39990234375","0.105652809143066","0.0504732131958008","HOU1"
"p1c2_datastore42","2.39990234375","0.992632865905762","0.474245071411133","HOU1"
"p1c2_datastore43","2.39990234375","0.76455245167017","0.345780372619629","HOU1"
"p1c2_datastore44","2.39990234375","0.228568077087402","0.101141929626465","HOU1"
"p1c2_datastore45","2.39990234375","0.557925224304199","0.47730827331543","HOU1"
"p1c2_datastore46","2.39990234375","0.706506729125977","0.451298713684082","HOU1"
"p1c1_datastore82","2.400146484375","2.09425354003906","1.1672477722168","HOU1"
"p1c1_Snapshot_Use_Only","4.800537109375","0.000952720642089844","0.000952720642089844","HOU1"
"p1c2_Snapshot_Use_Only","4.800537109375","0.025263786315918","0.025263786315918","HOU1"
"p1c1_datastore_AmicusOnly01","25.999755859375","24.0010547544807","20.8024854660034","HOU1"
